"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"-2.24","-8.4","0.4","-0.13","9.45","-40.31","8.57","-28.0","-24.66","0.66","105.1","-15.96","63.52","78.99","71.25","29.93","129.27","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.4","-0.04","9.45","-40.31","8.84","-21.14","-36.26","0.04","105.1","-15.96","63.6","78.73","71.16","29.93","129.27","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.31","-0.13","9.45","-40.31","8.4","-21.58","-40.4","-12.35","105.1","-16.4","63.43","78.9","71.16","29.85","129.63","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.4","-0.13","9.45","-40.31","9.1","-22.9","-45.85","-16.4","105.1","-16.84","63.52","78.9","71.16","29.85","128.84","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.4","-0.13","9.45","-40.31","11.82","-22.99","-50.33","-26.51","105.1","-17.19","63.78","78.9","71.34","29.67","128.84","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.31","-0.04","9.45","-40.31","13.32","-20.79","-56.75","-34.95","105.01","-17.63","63.78","78.9","71.34","29.85","129.27","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.4","-0.04","9.45","-40.31","14.81","-17.98","-62.99","-37.85","105.1","-17.98","63.6","78.9","71.25","29.85","129.63","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.31","-0.04","9.45","-40.4","13.58","-14.29","-69.23","-48.75","105.01","-18.42","63.6","78.9","71.25","29.85","128.84","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.4","-0.13","9.45","-40.31","13.58","-11.82","-76.26","-63.43","105.1","-18.42","63.6","78.9","71.25","29.93","128.84","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.4","-0.13","9.45","-40.31","13.58","-5.93","-80.31","-74.24","105.1","-18.42","63.78","78.9","71.34","29.67","128.84","-180.0","-180.0","-180.0"
"-2.24","-8.4","0.4","-0.04","9.45","-40.31","14.37","0.48","-82.24","-84.97","105.1","-18.42","63.78","78.9","71.34","29.85","129.63","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.4","-0.13","9.45","-40.31","15.16","8.13","-83.74","-92.79","105.1","-17.98","63.78","78.9","71.34","29.85","129.63","-180.0","-180.0","-180.0"
"-2.33","-8.4","0.31","-0.04","9.45","-40.31","17.19","13.14","-84.0","-94.29","105.1","-18.42","63.78","78.9","71.34","29.67","128.48","-180.0","-180.0","-180.0"
