"l_wrist_x","l_thumb_x","r_indexfingers_x","r_arm_x","l_arm_x","r_virtualhand_x","r_wrist_z","r_thumb_x","l_wrist_z","l_elbow_y","r_elbow_y","l_indexfingers_x","r_shoulder_y","r_shoulder_z","head_y","r_wrist_x","head_z","l_shoulder_z","l_virtualhand_x","l_shoulder_y"
"111.78","78.73","-171.65","17.89","-6.289999999999999","66.86","6.64","-147.74","-180.0","29.41","10.59","55.16","-7.43","22.64","-9.45","180.0","-4.79","-22.46","-159.78","-88.57"
"115.042","59.22200000000001","-163.91400000000002","15.49","-3.0539999999999994","-9.607999999999999","1.6499999999999986","-146.42100000000002","-165.837","32.759","48.732","43.495","-6.3309999999999995","23.536","10.762999999999998","160.809","-4.456","-14.24","-152.694","-93.52799999999999"
"118.304","39.71400000000001","-156.17800000000003","13.09","0.18200000000000038","30.604","14.885999999999997","-145.10200000000003","-151.67399999999998","36.108","-7.290000000000003","31.83","-5.231999999999999","24.432000000000002","-9.765999999999998","141.618","-4.122000000000001","-6.02","-145.60799999999998","-98.48599999999999"
"121.566","20.206000000000014","-148.44200000000004","10.69","3.418","-9.923999999999998","-16.230000000000004","-143.78300000000004","-137.51099999999997","39.456999999999994","12.475999999999999","20.165","-4.132999999999999","25.328000000000003","19.008999999999997","122.42699999999999","-3.7880000000000007","2.200000000000001","-138.52199999999996","-103.44399999999999"
"124.828","0.6980000000000146","-140.70600000000005","8.29","6.654","-5.652000000000001","23.131999999999998","-142.46400000000006","-123.34799999999997","42.80599999999999","-25.170000000000005","8.499999999999998","-3.033999999999999","26.224000000000004","-10.081999999999997","103.23599999999999","-3.4540000000000006","10.420000000000002","-131.43599999999995","-108.40199999999999"
"128.09","-18.809999999999985","-132.97000000000006","5.889999999999999","9.89","-10.239999999999997","-34.11000000000001","-141.14500000000007","-109.18499999999997","46.15499999999999","-23.78","-3.1650000000000027","-1.934999999999999","27.120000000000005","27.254999999999995","84.04499999999999","-3.1200000000000006","18.64","-124.34999999999995","-113.35999999999999"
"131.352","-38.317999999999984","-125.23400000000005","3.489999999999999","13.126000000000001","-41.908","31.377999999999993","-139.82600000000008","-95.02199999999998","49.503999999999984","-43.05000000000001","-14.830000000000004","-0.835999999999999","28.016000000000005","-10.397999999999996","64.85399999999998","-2.7860000000000005","26.86","-117.26399999999995","-118.31799999999998"
"134.614","-57.82599999999998","-117.49800000000005","1.089999999999999","16.362000000000002","-10.555999999999996","-51.99000000000001","-138.5070000000001","-80.85899999999998","52.85299999999998","-60.036","-26.495000000000005","0.263000000000001","28.912000000000006","35.50099999999999","45.66299999999998","-2.4520000000000004","35.08","-110.17799999999995","-123.27599999999998"
"137.876","-77.33399999999997","-109.76200000000004","-1.310000000000001","19.598000000000003","-78.164","39.62399999999999","-137.1880000000001","-66.69599999999998","56.20199999999998","-60.93000000000001","-38.160000000000004","1.362000000000001","29.808000000000007","-10.713999999999995","26.471999999999984","-2.1180000000000003","43.3","-103.09199999999996","-128.23399999999998"
"141.138","-96.84199999999997","-102.02600000000004","-3.710000000000001","22.834000000000003","-10.871999999999995","-69.87","-135.8690000000001","-52.53299999999999","59.55099999999997","-96.292","-49.825","2.461000000000001","30.704000000000008","43.746999999999986","7.280999999999985","-1.7840000000000003","51.519999999999996","-96.00599999999996","-133.19199999999998"
